
2016,191,-28.85
2015,269,-25.42
2014,361,0.33
2013,360,67.91
2012,214,29.60
2011,165,17.33
2010,141,83.33
2009,77,47.98
2008,52,28.78
2007,40,23.62
2006,33,24.43
2005,26,
